Site,Park,Year,WYear,xcoord,ycoord,mdcaty,panel,wgt,lake_area,lake_perim,Elevation_m,pH,Cl,EvalStatus,AdjWgt,PanelWt
S001-Out,SEKI,2008,0,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,6.67,10.8,Target - Sampled,65.70454544,1
S001-Out,SEKI,2013,5,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,7.06,2.31,Target - Sampled,210.2545454,1
S001-Out,SEKI,2012,4,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,7.04,2.2,Target - Sampled,65.70454544,1
S001-Out,SEKI,2010,2,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,6.83,1.73,Target - Sampled,65.70454544,1
S001-Out,SEKI,2011,3,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,6.87,1.69,Target - Sampled,75.09090908,1
S001-Out,SEKI,2009,1,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,6.8,2.88,Target - Sampled,65.70454544,1
S002-Out,SEKI,2008,0,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.04,1.2,Target - Sampled,65.70454544,1.2
S002-Out,SEKI,2013,5,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.52,2.23,Target - Sampled,210.2545454,1.2
S002-Out,SEKI,2012,4,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.57,2.03,Target - Sampled,65.70454544,1.2
S002-Out,SEKI,2010,2,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.4,1.58,Target - Sampled,65.70454544,1.2
S002-Out,SEKI,2009,1,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.8,1.92,Target - Sampled,65.70454544,1.2
S003-Out,SEKI,2012,4,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.44,1.64,Target - Sampled,8.575,1
S003-Out,SEKI,2011,3,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.33,1.38,Target - Sampled,9.8,1
S003-Out,SEKI,2009,1,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.25,1.72,Target - Sampled,8.575,1
S003-Out,SEKI,2008,0,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.24,2,Target - Sampled,8.575,1
S003-Out,SEKI,2013,5,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.4,1.52,Target - Sampled,27.44,1
S003-Out,SEKI,2010,2,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.32,1.68,Target - Sampled,8.575,1
S004-Out,SEKI,2012,4,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.27,1.49,Target - Sampled,8.575,1
S004-Out,SEKI,2009,1,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.49,2.03,Target - Sampled,8.575,1
S004-Out,SEKI,2013,5,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.45,1.95,Target - Sampled,27.44,1
S004-Out,SEKI,2011,3,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.26,0.87,Target - Sampled,9.8,1
S004-Out,SEKI,2010,2,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.11,1.71,Target - Sampled,8.575,1
S004-Out,SEKI,2008,0,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.43,2.1,Target - Sampled,8.575,1
S005-Out,SEKI,2011,3,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.41,1.55,Target - Sampled,86,1
S005-Out,SEKI,2013,5,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.42,2.57,Target - Sampled,240.8,1
S005-Out,SEKI,2012,4,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.43,1.75,Target - Sampled,75.25,1
S005-Out,SEKI,2010,2,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.36,1.64,Target - Sampled,75.25,1
S005-Out,SEKI,2009,1,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.34,2.12,Target - Sampled,75.25,1
S005-Out,SEKI,2008,0,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,5.86,4.5,Target - Sampled,75.25,1
S007-Out,SEKI,2008,0,385954.4728,4043798.59,3,Panel_2,21.45454545,172077,2112,3510,6.43,5.3,Target - Sampled,65.70454544,3
S007-Out,SEKI,2012,4,385954.4728,4043798.59,3,Panel_2,21.45454545,172077,2112,3510,6.59,2.57,Target - Sampled,65.70454544,3
S008-Out,SEKI,2012,4,373450.7546,4068171.804,2,Panel_2,4.846153846,17445.5,561,3088,6.81,2.2,Target - Sampled,14.84134615,3
S008-Out,SEKI,2008,0,373450.7546,4068171.804,2,Panel_2,4.846153846,17445.5,561,3088,6.54,3.1,Target - Sampled,14.84134615,3
S009-Out,SEKI,2008,0,360723.1753,4106526.449,2,Panel_2,4.846153846,37987,1196,3277,6.46,3.8,Target - Sampled,14.84134615,3
S009-Out,SEKI,2012,4,360723.1753,4106526.449,2,Panel_2,4.846153846,37987,1196,3277,6.9,2.88,Target - Sampled,14.84134615,3
S010-Out,SEKI,2008,0,355476.78,4029431.006,2,Panel_2,4.846153846,10838.9,407,3087,6.2,5.1,Target - Sampled,14.84134615,3
S010-Out,SEKI,2012,4,355476.78,4029431.006,2,Panel_2,4.846153846,10838.9,407,3087,6.42,2.65,Target - Sampled,14.84134615,3
S011-Out,SEKI,2012,4,370678.6927,4051762.757,6,Panel_2,21.33333333,102109,1552,3510,6.55,1.97,Target - Sampled,65.33333332,3
S011-Out,SEKI,2008,0,370678.6927,4051762.757,6,Panel_2,21.33333333,102109,1552,3510,6.55,11.8,Target - Sampled,65.33333332,3
S012-Out,SEKI,2012,4,374456.832,4059695.922,4,Panel_2,24.57142857,10391.4,424,3573,7.06,3.19,Target - Sampled,75.25,3
S012-Out,SEKI,2008,0,374456.832,4059695.922,4,Panel_2,24.57142857,10391.4,424,3573,6.7,7.3,Target - Sampled,75.25,3
S013-Out,SEKI,2008,0,348773.9394,4116650.776,2,Panel_2,4.846153846,17635.6,787,3418,6.15,2.7,Target - Sampled,14.84134615,3
S013-Out,SEKI,2012,4,348773.9394,4116650.776,2,Panel_2,4.846153846,17635.6,787,3418,6.73,2.37,Target - Sampled,14.84134615,3
S015-Out,SEKI,2008,0,355318.3521,4031673.213,1,Panel_2,2.8,15286.8,540,3009,6.38,8.6,Target - Sampled,8.575,3
S015-Out,SEKI,2012,4,355318.3521,4031673.213,1,Panel_2,2.8,15286.8,540,3009,6.45,2.34,Target - Sampled,8.575,3
S016-Out,SEKI,2008,0,371301.8329,4083670.512,3,Panel_2,21.45454545,12559.6,483,3150,6.39,5.1,Target - Sampled,65.70454544,3
S016-Out,SEKI,2012,4,371301.8329,4083670.512,3,Panel_2,21.45454545,12559.6,483,3150,6.56,2.76,Target - Sampled,65.70454544,3
S051-Out,SEKI,2008,0,360321.7567,4044132.817,4,OverSamp,24.57142857,16257.4,481,3456,6.02,5.4,Target - Sampled,75.25,3
S051-Out,SEKI,2012,4,360321.7567,4044132.817,4,OverSamp,24.57142857,16257.4,481,3456,5.84,1.55,Target - Sampled,75.25,3
Y001-Out,YOSE,2013,5,303562.8931,4190559.064,1,Panel_1,10.2,57209,1084,3186,6.74,3.53,Target - Sampled,91.8,1
Y001-Out,YOSE,2008,0,303562.8931,4190559.064,1,Panel_1,10.2,57209,1084,3186,6.15,3,Target - Sampled,30.6,1
Y001-Out,YOSE,2012,4,303562.8931,4190559.064,1,Panel_1,10.2,57209,1084,3186,6.77,3.13,Target - Sampled,30.6,1
Y001-Out,YOSE,2009,1,303562.8931,4190559.064,1,Panel_1,10.2,57209,1084,3186,6.53,2.65,Target - Sampled,30.6,1
Y001-Out,YOSE,2011,3,303562.8931,4190559.064,1,Panel_1,10.2,57209,1084,3186,6.7,1.97,Target - Sampled,25.03636364,1
Y001-Out,YOSE,2010,2,303562.8931,4190559.064,1,Panel_1,10.2,57209,1084,3186,6.53,1.77,Target - Sampled,34.425,1
Y002-Out,YOSE,2011,3,299668.8782,4200048.474,1,Panel_1,10.2,64913,1365,3179,6.68,1.55,Target - Sampled,25.03636364,1
Y002-Out,YOSE,2008,0,299668.8782,4200048.474,1,Panel_1,10.2,64913,1365,3179,6.35,1.2,Target - Sampled,30.6,1
Y002-Out,YOSE,2012,4,299668.8782,4200048.474,1,Panel_1,10.2,64913,1365,3179,6.82,1.13,Target - Sampled,30.6,1
Y002-Out,YOSE,2013,5,299668.8782,4200048.474,1,Panel_1,10.2,64913,1365,3179,6.87,1.75,Target - Sampled,91.8,1
Y002-Out,YOSE,2009,1,299668.8782,4200048.474,1,Panel_1,10.2,64913,1365,3179,7.04,1.16,Target - Sampled,30.6,1
Y002-Out,YOSE,2010,2,299668.8782,4200048.474,1,Panel_1,10.2,64913,1365,3179,6.79,2.05,Target - Sampled,34.425,1
Y003-Out,YOSE,2011,3,277537.7605,4197878.359,2,Panel_1,7.714285714,22664,628,2745,6.24,1.35,Target - Sampled,18.93506493,1
Y003-Out,YOSE,2009,1,277537.7605,4197878.359,2,Panel_1,7.714285714,22664,628,2745,5.87,1.86,Target - Sampled,23.14285714,1
Y003-Out,YOSE,2013,5,277537.7605,4197878.359,2,Panel_1,7.714285714,22664,628,2745,6.17,1.75,Target - Sampled,69.42857143,1
Y003-Out,YOSE,2008,0,277537.7605,4197878.359,2,Panel_1,7.714285714,22664,628,2745,5.83,1.6,Target - Sampled,23.14285714,1
Y003-Out,YOSE,2010,2,277537.7605,4197878.359,2,Panel_1,7.714285714,22664,628,2745,5.97,1.75,Target - Sampled,26.03571428,1
Y003-Out,YOSE,2012,4,277537.7605,4197878.359,2,Panel_1,7.714285714,22664,628,2745,6.35,2.85,Target - Sampled,23.14285714,1
Y004-Out,YOSE,2012,4,289840.5135,4168926.525,4,Panel_2,15.75,163118,2131,3101,6.13,1.78,Target - Sampled,47.25,3
Y004-Out,YOSE,2008,0,289840.5135,4168926.525,4,Panel_2,15.75,163118,2131,3101,5.98,0.6,Target - Sampled,47.25,3
Y005-Out,YOSE,2008,0,271742.5597,4220597.887,6,Panel_2,26.5,585640,8002,2713,6.13,2.5,Target - Sampled,79.5,3
Y005-Out,YOSE,2012,4,271742.5597,4220597.887,6,Panel_2,26.5,585640,8002,2713,6.46,3.75,Target - Sampled,79.5,3
Y006-Out,YOSE,2012,4,296669.2441,4187239.799,2,Panel_2,7.714285714,20613,655,3178,6.74,3.84,Target - Sampled,23.14285714,3
Y006-Out,YOSE,2008,0,296669.2441,4187239.799,2,Panel_2,7.714285714,20613,655,3178,6.51,2.1,Target - Sampled,23.14285714,3
Y007-Out,YOSE,2012,4,270111.0932,4210333.144,6,Panel_2,26.5,24199,898,2199,6.45,4.57,Target - Sampled,79.5,3
Y007-Out,YOSE,2008,0,270111.0932,4210333.144,6,Panel_2,26.5,24199,898,2199,6.34,3.9,Target - Sampled,79.5,3
Y008-Out,YOSE,2012,4,287720.935,4173369.802,6,Panel_2,26.5,29353,781,2973,6.32,2.74,Target - Sampled,79.5,3
Y008-Out,YOSE,2008,0,287720.935,4173369.802,6,Panel_2,26.5,29353,781,2973,6.01,0.7,Target - Sampled,79.5,3
