siteID,Year,Park,Elevation_m,pH,Cl
S001-Out,2008,SEKI,3368,6.67,10.8
S001-Out,2009,SEKI,3368,6.8,2.88
S001-Out,2010,SEKI,3368,6.83,1.73
S001-Out,2011,SEKI,3368,6.87,1.69
S001-Out,2012,SEKI,3368,7.04,2.2
S001-Out,2013,SEKI,3368,7.06,2.31
S002-Out,2008,SEKI,3301,6.04,1.2
S002-Out,2009,SEKI,3301,6.8,1.92
S002-Out,2010,SEKI,3301,6.4,1.58
S002-Out,2012,SEKI,3301,6.57,2.03
S002-Out,2013,SEKI,3301,6.52,2.23
S003-Out,2008,SEKI,3038,6.24,2
S003-Out,2009,SEKI,3038,6.25,1.72
S003-Out,2010,SEKI,3038,6.32,1.68
S003-Out,2011,SEKI,3038,6.33,1.38
S003-Out,2012,SEKI,3038,6.44,1.64
S003-Out,2013,SEKI,3038,6.4,1.52
S004-Out,2008,SEKI,2757,6.43,2.1
S004-Out,2009,SEKI,2757,6.49,2.03
S004-Out,2010,SEKI,2757,6.11,1.71
S004-Out,2011,SEKI,2757,6.26,0.87
S004-Out,2012,SEKI,2757,6.27,1.49
S004-Out,2013,SEKI,2757,6.45,1.95
S005-Out,2008,SEKI,3362,5.86,4.5
S005-Out,2009,SEKI,3362,6.34,2.12
S005-Out,2010,SEKI,3362,6.36,1.64
S005-Out,2011,SEKI,3362,6.41,1.55
S005-Out,2012,SEKI,3362,6.43,1.75
S005-Out,2013,SEKI,3362,6.42,2.57
Y001-Out,2008,YOSE,3186,6.15,3
Y001-Out,2009,YOSE,3186,6.53,2.65
Y001-Out,2010,YOSE,3186,6.53,1.77
Y001-Out,2011,YOSE,3186,6.7,1.97
Y001-Out,2012,YOSE,3186,6.77,3.13
Y001-Out,2013,YOSE,3186,6.74,3.53
Y002-Out,2008,YOSE,3179,6.35,1.2
Y002-Out,2009,YOSE,3179,7.04,1.16
Y002-Out,2010,YOSE,3179,6.79,2.05
Y002-Out,2011,YOSE,3179,6.68,1.55
Y002-Out,2012,YOSE,3179,6.82,1.13
Y002-Out,2013,YOSE,3179,6.87,1.75
Y003-Out,2008,YOSE,2745,5.83,1.6
Y003-Out,2009,YOSE,2745,5.87,1.86
Y003-Out,2010,YOSE,2745,5.97,1.75
Y003-Out,2011,YOSE,2745,6.24,1.35
Y003-Out,2012,YOSE,2745,6.35,2.85
Y003-Out,2013,YOSE,2745,6.17,1.75
S006-Out,2008,SEKI,3401,6.25,1.7
S007-Out,2008,SEKI,3510,6.43,5.3
S007-Out,2012,SEKI,3510,6.59,2.57
S008-Out,2008,SEKI,3088,6.54,3.1
S008-Out,2012,SEKI,3088,6.81,2.2
S009-Out,2008,SEKI,3277,6.46,3.8
S009-Out,2012,SEKI,3277,6.9,2.88
S010-Out,2008,SEKI,3087,6.2,5.1
S010-Out,2012,SEKI,3087,6.42,2.65
S011-Out,2008,SEKI,3510,6.55,11.8
S011-Out,2012,SEKI,3510,6.55,1.97
S012-Out,2008,SEKI,3573,6.7,7.3
S012-Out,2012,SEKI,3573,7.06,3.19
S013-Out,2008,SEKI,3418,6.15,2.7
S013-Out,2012,SEKI,3418,6.73,2.37
S015-Out,2008,SEKI,3009,6.38,8.6
S015-Out,2012,SEKI,3009,6.45,2.34
S016-Out,2008,SEKI,3150,6.39,5.1
S016-Out,2012,SEKI,3150,6.56,2.76
S051-Out,2008,SEKI,3456,6.02,5.4
S051-Out,2012,SEKI,3456,5.84,1.55
S052-Out,2012,SEKI,3453,6.88,1.78
Y004-Out,2008,YOSE,3101,5.98,0.6
Y004-Out,2012,YOSE,3101,6.13,1.78
Y005-Out,2008,YOSE,2713,6.13,2.5
Y005-Out,2012,YOSE,2713,6.46,3.75
Y006-Out,2008,YOSE,3178,6.51,2.1
Y006-Out,2012,YOSE,3178,6.74,3.84
Y007-Out,2008,YOSE,2199,6.34,3.9
Y007-Out,2012,YOSE,2199,6.45,4.57
Y008-Out,2008,YOSE,2973,6.01,0.7
Y008-Out,2012,YOSE,2973,6.32,2.74
Y009-Out,2008,YOSE,1768,6.4,5.7
Y030-Out,2012,YOSE,2866,6.26,2.28
S017-Out,2009,SEKI,3530,6.22,1.24
S018-Out,2009,SEKI,3448,6.64,1.78
S019-Out,2009,SEKI,3182,6.29,1.75
S020-Out,2009,SEKI,2869,5.7,2.51
S021-Out,2009,SEKI,3193,6.44,3.53
S022-Out,2009,SEKI,3358,6.71,1.81
S023-Out,2009,SEKI,3491,7.12,2.54
S024-Out,2009,SEKI,3324,6.63,4.54
S025-Out,2009,SEKI,3623,6.35,3.72
S026-Out,2009,SEKI,2480,6.1,2.96
S027-Out,2009,SEKI,3517,6.2,1.52
Y010-Out,2009,YOSE,2492,6.63,3.13
Y011-Out,2009,YOSE,2148,6.58,3.44
Y012-Out,2009,YOSE,3352,5.74,1.1
Y013-Out,2009,YOSE,1995,6.36,5.64
Y014-Out,2009,YOSE,2890,5.92,2.76
Y015-Out,2009,YOSE,2998,6.2,1.66
S028-Out,2010,SEKI,3705,6.68,2.51
S029-Out,2010,SEKI,3340,6,1.04
S030-Out,2010,SEKI,0,6.13,3.18
S031-Out,2010,SEKI,3285,6,1.98
S032-Out,2010,SEKI,3477,6.38,1.99
S033-Out,2010,SEKI,3382,6.37,2.7
S034-Out,2010,SEKI,3400,6.72,1.31
S035-Out,2010,SEKI,3107,6.61,3.7
S036-Out,2010,SEKI,3205,6.59,1.97
S037-Out,2010,SEKI,3551,6.64,2.18
S038-Out,2010,SEKI,3651,6.59,2.1
Y016-Out,2010,YOSE,2588,6.41,2.92
Y017-Out,2010,YOSE,3507,6.24,1.68
Y018-Out,2010,YOSE,3067,6.82,1.96
Y019-Out,2010,YOSE,2588,6.25,4.03
Y021-Out,2010,YOSE,2978,6.31,1.94
S039-Out,2011,SEKI,3472,6.21,1.16
S040-Out,2011,SEKI,3165,6.66,1.78
S041-Out,2011,SEKI,3474,6.8,2.43
S042-Out,2011,SEKI,3076,6.37,1.1
S043-Out,2011,SEKI,3577,6.58,3.44
S044-Out,2011,SEKI,3218,6.55,1.47
S046-Out,2011,SEKI,3306,6.49,1.38
S047-Out,2011,SEKI,3141,6.16,0.62
S048-Out,2011,SEKI,3461,6.7,1.02
S049-Out,2011,SEKI,3471,5.93,1.35
Y022-Out,2011,YOSE,2972,6.18,1.81
Y023-Out,2011,YOSE,2814,6.32,1.72
Y025-Out,2011,YOSE,2285,5.97,2.82
Y026-Out,2011,YOSE,2796,6.27,2.31
Y027-Out,2011,YOSE,2918,6.37,2.54
Y029-Out,2011,YOSE,2110,6.44,3.53
